ATLAS Name,RA (degrees),Dec (degrees),A_g,A_r,A_i
ATLAS19aep,328.920779,24.90571,0.22,0.152,0.113
ATLAS19ahg,55.580856,30.159108,0.866,0.599,0.445
ATLAS19ahm,192.904903,12.573354,0.1,0.069,0.052
ATLAS19asd,156.822595,26.5331,0.086,0.06,0.044
ATLAS19awe,180.650614,4.549562,0.062,0.043,0.032
ATLAS19bab,157.341566,29.510638,0.066,0.046,0.034
ATLAS19bael,32.37655,-6.967203,0.082,0.057,0.042
ATLAS19bagd,165.569623,44.334811,0.041,0.028,0.021
ATLAS19bagn,168.813843,-27.653284,0.234,0.162,0.12
ATLAS19bakx,155.017249,-37.997805,0.234,0.162,0.12
ATLAS19baky,129.690207,-14.680212,0.202,0.14,0.104
ATLAS19bakz,193.673761,28.942154,0.039,0.027,0.02
ATLAS19bala,6.564553,21.809991,0.146,0.101,0.075
ATLAS19baor,13.59341,31.670221,0.203,0.141,0.104
ATLAS19bati,32.524143,-32.938836,0.047,0.033,0.024
ATLAS19baum,12.920234,-13.318251,0.076,0.053,0.039
ATLAS19bavv,184.927212,-12.225707,0.151,0.104,0.078
ATLAS19bays,143.81012,13.13473,0.09,0.062,0.046
ATLAS19bbfc,203.076619,7.940446,0.086,0.06,0.044
ATLAS19bbhr,46.089368,-16.02413,0.153,0.106,0.079
ATLAS19bbhu,186.68198,56.075799,0.053,0.036,0.027
ATLAS19bbhw,167.255119,-14.636178,0.183,0.126,0.094
ATLAS19bbmq,181.448285,-27.94403,0.217,0.15,0.111
ATLAS19bbmr,166.00093,-18.776507,0.155,0.108,0.08
ATLAS19bbmt,194.859353,27.997477,0.03,0.021,0.015
ATLAS19bbun,104.646692,45.20879,0.332,0.23,0.171
ATLAS19bchy,299.61893,62.13773,0.34,0.235,0.175
ATLAS19bcjh,180.678042,1.984346,0.074,0.051,0.038
ATLAS19bcjk,169.632964,-12.140354,0.221,0.153,0.114
ATLAS19bcrg,199.08642,30.680175,0.04,0.028,0.02
ATLAS19bctg,350.146561,-0.880854,0.116,0.08,0.06
ATLAS19bcyv,176.538457,20.447704,0.079,0.055,0.041
ATLAS19bdc,48.05629,67.409715,3.247,2.246,1.669
ATLAS19bdcc,208.230622,3.028967,0.087,0.06,0.045
ATLAS19bdcu,217.283878,27.450232,0.055,0.038,0.028
ATLAS19bddm,214.222775,10.797864,0.085,0.059,0.044
ATLAS19bdho,32.904545,34.041365,0.325,0.225,0.167
ATLAS19bdir,141.966152,68.411822,0.197,0.136,0.101
ATLAS19bdm,345.730065,8.40283,0.169,0.117,0.087
ATLAS19bdst,229.499568,13.526278,0.145,0.1,0.074
ATLAS19bdsz,158.959773,-34.272692,0.233,0.161,0.12
ATLAS19bdtf,40.890124,-38.6252,0.059,0.041,0.03
ATLAS19bdu,34.498386,14.533477,0.372,0.257,0.191
ATLAS19beci,40.997888,32.528347,0.598,0.414,0.307
ATLAS19beck,152.734936,1.071472,0.118,0.082,0.061
ATLAS19becv,59.594691,6.71541,0.836,0.578,0.43
ATLAS19benc,191.283906,-0.459074,0.082,0.057,0.042
ATLAS19bfk,190.65169,-40.746326,0.477,0.33,0.245
ATLAS19bfl,204.181652,-31.836638,0.178,0.123,0.092
ATLAS19bfni,186.840994,64.799937,0.066,0.045,0.034
ATLAS19bfnp,203.833153,7.468987,0.11,0.076,0.057
ATLAS19bfod,214.133889,57.807989,0.042,0.029,0.021
ATLAS19bfsp,158.770095,46.560663,0.073,0.05,0.038
ATLAS19bfsq,184.880197,49.814214,0.054,0.037,0.028
ATLAS19bfsr,44.163823,47.526367,0.592,0.409,0.304
ATLAS19bfss,94.376892,62.491078,0.576,0.399,0.296
ATLAS19bfst,118.571979,14.273127,0.125,0.087,0.064
ATLAS19bfsu,6.094199,38.197357,0.204,0.141,0.105
ATLAS19bfsv,29.711599,-9.58484,0.092,0.064,0.047
ATLAS19bfsw,234.658839,36.958648,0.069,0.048,0.035
ATLAS19bfsx,334.020751,-26.678561,0.067,0.047,0.035
ATLAS19bfsy,331.906929,22.061155,0.298,0.206,0.153
ATLAS19bfta,9.89579,0.867864,0.067,0.046,0.034
ATLAS19bftb,221.883498,-19.766008,0.293,0.202,0.15
ATLAS19bftc,211.506629,12.780688,0.088,0.061,0.045
ATLAS19bftd,288.152806,-19.417088,0.481,0.333,0.247
ATLAS19bfte,263.521363,-14.808853,1.286,0.89,0.661
ATLAS19bftf,305.371822,59.740645,0.969,0.67,0.498
ATLAS19bfth,305.869669,-47.17489,0.108,0.074,0.055
ATLAS19bfti,231.185317,68.728787,0.082,0.057,0.042
ATLAS19bftj,78.941285,34.229417,3.597,2.488,1.849
ATLAS19boq,180.652512,41.061642,0.043,0.03,0.022
ATLAS19bqg,203.811193,44.766291,0.063,0.044,0.032
ATLAS19bqp,198.596115,30.485189,0.046,0.032,0.024
ATLAS19buf,7.372497,-13.478537,0.094,0.065,0.048
ATLAS19buw,235.488781,0.710943,0.377,0.261,0.194
ATLAS19bvw,184.273575,-26.629061,0.293,0.203,0.151
ATLAS19bzl,202.426633,47.187979,0.117,0.081,0.06
ATLAS19bzm,102.607564,43.053323,0.374,0.258,0.192
ATLAS19car,162.799042,5.842,0.099,0.068,0.051
ATLAS19cas,202.950074,-2.608605,0.112,0.078,0.058
ATLAS19cbm,153.178674,39.373932,0.047,0.032,0.024
ATLAS19cdi,66.705502,29.951595,1.514,1.048,0.778
ATLAS19cdj,180.428886,20.403809,0.133,0.092,0.069
ATLAS19cfn,220.387208,48.203955,0.074,0.051,0.038
ATLAS19cqs,159.409977,37.458262,0.074,0.051,0.038
ATLAS19ddt,227.186576,18.930506,0.113,0.078,0.058
ATLAS19ded,162.927279,18.481339,0.118,0.081,0.061
ATLAS19dfz,225.354558,-13.791221,0.386,0.267,0.198
ATLAS19dhf,45.293417,41.396124,0.402,0.278,0.207
ATLAS19djd,93.291817,50.44137,0.627,0.434,0.322
ATLAS19djo,217.569484,-43.561415,0.563,0.39,0.29
ATLAS19dkt,246.109496,82.794904,0.24,0.166,0.124
ATLAS19dkv,57.836196,-18.313775,0.166,0.115,0.086
ATLAS19dlh,148.583553,-6.48855,0.207,0.143,0.106
ATLAS19dli,157.327186,6.122743,0.096,0.066,0.049
ATLAS19dpl,92.708335,35.647087,1.223,0.846,0.629
ATLAS19dqg,61.942566,-29.859483,0.042,0.029,0.022
ATLAS19dqr,150.093949,-3.020155,0.178,0.123,0.091
ATLAS19dqw,197.239067,28.281234,0.034,0.024,0.018
ATLAS19dqz,176.107584,19.713211,0.071,0.049,0.036
ATLAS19drc,248.086321,19.840119,0.208,0.144,0.107
ATLAS19dwe,149.916303,35.395116,0.051,0.035,0.026
ATLAS19dzb,102.826868,49.883571,0.337,0.233,0.173
ATLAS19dzg,234.967353,-44.595789,1.098,0.76,0.564
ATLAS19dzh,212.823205,-25.03601,0.226,0.156,0.116
ATLAS19dzi,162.110045,-45.692047,0.645,0.446,0.331
ATLAS19dzj,190.991041,-45.595829,0.325,0.225,0.167
ATLAS19dzk,44.682802,6.81891,0.971,0.672,0.499
ATLAS19dzu,35.839855,53.394972,0.641,0.444,0.33
ATLAS19dzx,271.538189,65.346344,0.158,0.109,0.081
ATLAS19eae,70.272338,73.673058,0.538,0.372,0.277
ATLAS19ebv,114.156316,74.446548,0.094,0.065,0.048
ATLAS19ejd,175.197867,17.792142,0.095,0.065,0.049
ATLAS19ejh,183.416013,16.123479,0.124,0.086,0.064
ATLAS19eme,202.207484,10.382298,0.116,0.081,0.06
ATLAS19emj,221.447855,50.396777,0.094,0.065,0.048
ATLAS19esm,247.725283,46.588478,0.043,0.03,0.022
ATLAS19eso,280.796388,-41.411215,0.29,0.201,0.149
ATLAS19etb,169.530908,75.147381,0.191,0.132,0.098
ATLAS19geq,146.386119,4.933914,0.132,0.091,0.068
ATLAS19ggw,207.637915,35.130654,0.037,0.026,0.019
ATLAS19ghv,169.450797,13.72823,0.067,0.046,0.034
ATLAS19gne,169.450784,13.728227,0.067,0.046,0.034
ATLAS19gnx,186.595455,71.563665,0.049,0.034,0.025
ATLAS19hhj,343.707718,36.543545,0.439,0.304,0.226
ATLAS19hln,193.409213,-26.292053,0.274,0.19,0.141
ATLAS19hlq,300.167541,-34.795289,0.315,0.218,0.162
ATLAS19hlr,289.089556,-40.129119,0.331,0.229,0.17
ATLAS19hlt,293.092139,-29.38561,0.434,0.3,0.223
ATLAS19hsc,277.201737,50.373192,0.191,0.132,0.098
ATLAS19hsj,206.715641,16.281615,0.086,0.06,0.044
ATLAS19hso,101.664302,45.647718,0.35,0.242,0.18
ATLAS19htk,187.778698,0.465187,0.067,0.046,0.034
ATLAS19htt,163.674283,-21.066953,0.181,0.125,0.093
ATLAS19ibr,185.733944,15.826147,0.087,0.06,0.044
ATLAS19ibs,182.964944,24.136598,0.117,0.081,0.06
ATLAS19ieo,208.371341,40.275388,0.042,0.029,0.021
ATLAS19ify,280.678787,40.368899,0.232,0.16,0.119
ATLAS19igh,121.786566,-28.053234,1.51,1.045,0.776
ATLAS19ims,137.398493,29.970704,0.08,0.055,0.041
ATLAS19ina,143.698788,10.287021,0.096,0.066,0.049
ATLAS19jhd,277.620952,74.121052,0.211,0.146,0.108
ATLAS19jyn,338.656281,0.17573,0.217,0.15,0.112
ATLAS19kdv,324.634113,-4.703378,0.141,0.097,0.072
ATLAS19kig,316.349169,19.742882,0.406,0.281,0.209
ATLAS19kle,204.054218,38.355051,0.023,0.016,0.012
ATLAS19klt,202.75529,34.153553,0.036,0.025,0.018
ATLAS19kvn,121.783508,-28.05643,1.511,1.046,0.777
ATLAS19lhw,154.846906,44.408556,0.045,0.031,0.023
ATLAS19lii,165.969185,-3.336976,0.165,0.114,0.085
ATLAS19ljy,155.33737,12.178203,0.124,0.086,0.064
ATLAS19lri,196.826792,2.00323,0.094,0.065,0.048
ATLAS19lsc,309.230152,2.806814,0.343,0.237,0.176
ATLAS19ltf,348.816927,19.04162,0.484,0.334,0.249
ATLAS19ltg,192.511749,-14.766698,0.173,0.12,0.089
ATLAS19lto,224.137027,-2.106449,0.216,0.149,0.111
ATLAS19ltp,135.099495,25.61405,0.131,0.09,0.067
ATLAS19mau,328.991831,27.899005,0.233,0.161,0.12
ATLAS19mbg,219.438325,52.72667,0.031,0.022,0.016
ATLAS19mco,251.647964,-31.591915,1.43,0.989,0.735
ATLAS19mdz,172.243399,22.089587,0.073,0.05,0.037
ATLAS19mec,359.127411,-3.102333,0.159,0.11,0.082
ATLAS19mgv,218.460497,-34.877935,0.237,0.164,0.122
ATLAS19mhb,359.346483,30.990652,0.177,0.122,0.091
ATLAS19mhd,283.89358,-41.742077,0.341,0.236,0.175
ATLAS19mml,12.603725,-12.095187,0.078,0.054,0.04
ATLAS19mra,170.266765,31.249422,0.051,0.035,0.026
ATLAS19msv,357.268057,57.672365,2.631,1.82,1.352
ATLAS19mtc,267.433148,48.459996,0.114,0.079,0.058
ATLAS19muh,279.956035,-38.15413,0.327,0.226,0.168
ATLAS19mwn,27.191334,20.26809,0.287,0.199,0.148
ATLAS19mza,357.475937,2.708341,0.152,0.105,0.078
ATLAS19ndl,355.792694,-2.949687,0.113,0.078,0.058
ATLAS19ndx,21.645166,51.721371,1.065,0.737,0.548
ATLAS19nev,13.965743,43.490023,0.305,0.211,0.157
ATLAS19nhp,193.887575,32.206001,0.055,0.038,0.028
ATLAS19njc,18.601601,-7.475432,0.274,0.189,0.141
ATLAS19nkr,173.845166,-21.715232,0.171,0.119,0.088
ATLAS19nqt,214.491074,26.421588,0.068,0.047,0.035
ATLAS19nro,264.234124,21.104889,0.281,0.194,0.144
ATLAS19nsb,334.691247,-36.801693,0.067,0.047,0.035
ATLAS19oea,357.765162,20.145504,0.245,0.169,0.126
ATLAS19oif,183.544523,-0.845991,0.072,0.05,0.037
ATLAS19oij,16.625878,-2.198973,0.115,0.079,0.059
ATLAS19oil,17.585098,-9.574763,0.191,0.132,0.098
ATLAS19omc,243.980161,68.355839,0.111,0.076,0.057
ATLAS19omd,16.67579,49.234423,0.455,0.315,0.234
ATLAS19omf,22.793744,43.622599,0.275,0.19,0.141
ATLAS19pau,260.922204,52.010088,0.111,0.076,0.057
ATLAS19pbu,190.088024,1.274017,0.057,0.039,0.029
ATLAS19pch,49.469563,-7.303235,0.18,0.125,0.093
ATLAS19pfa,286.318193,27.007092,0.738,0.51,0.379
ATLAS19pfc,41.729833,-24.806632,0.062,0.043,0.032
ATLAS19pgt,69.414329,-4.878885,0.257,0.178,0.132
ATLAS19ppn,41.584454,44.955117,0.455,0.315,0.234
ATLAS19ppr,294.246405,-11.953793,0.76,0.526,0.391
ATLAS19qdz,244.6606,21.972987,0.235,0.163,0.121
ATLAS19rit,257.774114,5.852031,0.524,0.362,0.269
ATLAS19rqi,36.577143,-9.835923,0.084,0.058,0.043
ATLAS19rzt,55.26216,34.652082,1.749,1.21,0.899
ATLAS19spe,261.411093,59.446732,0.099,0.068,0.051
ATLAS19ssp,16.905028,-41.85343,0.041,0.028,0.021
ATLAS19suf,57.58972,41.161954,2.023,1.399,1.04
ATLAS19swe,343.987575,-43.438513,0.049,0.034,0.025
ATLAS19swf,29.684878,-25.802781,0.04,0.028,0.021
ATLAS19swj,23.40383,-38.599726,0.047,0.032,0.024
ATLAS19swt,297.03986,-24.443427,0.354,0.245,0.182
ATLAS19syc,3.813323,-8.189401,0.126,0.087,0.065
ATLAS19tgt,69.726359,18.836167,1.223,0.846,0.629
ATLAS19thw,346.829519,13.855958,0.641,0.443,0.33
ATLAS19tjc,304.988197,15.377529,0.543,0.375,0.279
ATLAS19tju,62.577988,13.404132,1.389,0.961,0.714
ATLAS19tva,267.803228,51.382531,0.14,0.097,0.072
ATLAS19tws,54.723691,66.295068,4.019,2.78,2.066
ATLAS19txb,327.658138,36.456983,0.865,0.598,0.444
ATLAS19ufz,77.905205,67.496015,0.442,0.306,0.227
ATLAS19ugb,108.621639,61.289564,0.178,0.123,0.091
ATLAS19ump,225.934324,-3.296411,0.462,0.32,0.238
ATLAS19urn,271.168098,21.63452,0.353,0.244,0.181
ATLAS19uro,258.645089,28.123929,0.263,0.182,0.135
ATLAS19uui,106.996889,31.66541,0.299,0.207,0.154
ATLAS19uvb,49.599149,-1.930474,0.282,0.195,0.145
ATLAS19uve,48.826498,42.695555,0.606,0.419,0.311
ATLAS19uvh,18.157816,33.034926,0.198,0.137,0.102
ATLAS19uzk,235.376375,15.784273,0.115,0.079,0.059
ATLAS19uzn,44.94574,15.296848,0.478,0.331,0.246
ATLAS19vdd,128.855733,23.527655,0.121,0.084,0.062
ATLAS19vdq,277.307541,41.042353,0.383,0.265,0.197
ATLAS19vfe,105.458819,4.919418,1.15,0.796,0.591
ATLAS19vfr,71.657829,-10.226324,0.363,0.251,0.187
ATLAS19vnt,45.001762,30.988418,0.676,0.467,0.347
ATLAS19vnv,94.092591,-21.35992,0.286,0.198,0.147
ATLAS19whk,13.740254,-37.644432,0.042,0.029,0.022
ATLAS19wqg,345.572594,15.941042,0.272,0.188,0.14
ATLAS19wtn,83.817722,13.551144,1.749,1.21,0.899
ATLAS19wwd,33.204936,-6.701677,0.081,0.056,0.042
ATLAS19xas,125.88732,21.340218,0.155,0.107,0.08
ATLAS19xjn,234.43636,22.426898,0.15,0.104,0.077
ATLAS19xkp,10.48975,-38.592479,0.045,0.031,0.023
ATLAS19xqi,124.962028,-14.715283,0.214,0.148,0.11
ATLAS19xvz,139.78152,-6.699948,0.121,0.083,0.062
ATLAS19yex,112.209416,35.547516,0.179,0.124,0.092
ATLAS19ygo,322.853007,2.494171,0.19,0.131,0.097
ATLAS19yhh,150.726625,-6.207234,0.12,0.083,0.062
ATLAS19yhi,148.338568,0.696798,0.183,0.127,0.094
ATLAS19yjq,47.134268,-10.040758,0.286,0.198,0.147
ATLAS19yjr,143.796228,48.718181,0.085,0.059,0.044
ATLAS19yjx,140.14068,64.073032,0.164,0.113,0.084
ATLAS19ylm,352.733894,15.49168,0.227,0.157,0.117
ATLAS19ylt,131.119386,-31.690436,0.849,0.588,0.437
ATLAS19ysh,232.631893,82.44902,0.206,0.143,0.106
ATLAS19ysj,334.545651,45.719451,0.674,0.466,0.347
ATLAS19yst,4.98603,15.093381,0.159,0.11,0.082
ATLAS19ysu,25.715887,-6.147444,0.093,0.064,0.048
ATLAS19yui,164.315667,-5.119593,0.093,0.064,0.048
ATLAS19yvk,144.285898,9.465425,0.117,0.081,0.06
ATLAS19yyo,73.791019,-16.150403,0.217,0.15,0.111
ATLAS19zbn,325.97271,-10.18393,0.136,0.094,0.07
ATLAS19zie,120.708031,15.801538,0.103,0.071,0.053
ATLAS19zjs,266.620757,30.706893,0.173,0.119,0.089
ATLAS19zjt,329.501171,24.265883,0.231,0.16,0.119
ATLAS19zjy,334.932307,36.409784,0.444,0.307,0.228
ATLAS19zpd,35.772017,46.882449,0.593,0.41,0.305
ATLAS19zsy,167.136625,-10.481768,0.214,0.148,0.11
ATLAS19zsz,170.714586,-7.590281,0.144,0.099,0.074
ATLAS19zta,177.113818,12.727229,0.122,0.085,0.063
ATLAS19ztf,178.257771,-6.064011,0.094,0.065,0.049
ATLAS19ztg,160.244833,65.515575,0.06,0.042,0.031
ATLAS19zth,155.646706,43.848907,0.047,0.032,0.024
ATLAS19zti,175.190678,5.139741,0.078,0.054,0.04
ATLAS19ztj,155.676364,46.245261,0.053,0.036,0.027
ATLAS19ztm,28.296657,4.196376,0.125,0.087,0.064
ATLAS19zud,168.306007,44.779121,0.048,0.033,0.024
ATLAS19zzk,10.213651,2.840448,0.07,0.048,0.036
ATLAS19zzz,157.20196,-31.497799,0.213,0.147,0.11
ATLAS20abb,216.080124,-16.372032,0.23,0.159,0.118
ATLAS20abd,158.685691,11.052069,0.128,0.089,0.066
ATLAS20abe,165.023886,-16.107107,0.17,0.117,0.087
ATLAS20app,209.486686,-29.285383,0.192,0.133,0.099
ATLAS20arp,41.328657,-17.7051,0.093,0.064,0.048
ATLAS20ate,328.856077,34.510598,0.556,0.385,0.286
ATLAS20atf,338.350123,11.5123,0.207,0.143,0.107
ATLAS20atq,185.728851,15.823627,0.086,0.06,0.044
ATLAS20atr,72.147619,-4.822118,0.118,0.082,0.061
ATLAS20ats,20.489414,50.046648,0.68,0.47,0.349
ATLAS20atu,19.842412,62.334042,4.075,2.819,2.095
ATLAS20aup,190.694928,2.659522,0.095,0.066,0.049
ATLAS20auq,182.904167,0.322314,0.087,0.06,0.045
ATLAS20aur,177.226824,-4.681647,0.081,0.056,0.041
ATLAS20aut,234.731213,4.578077,0.177,0.123,0.091
ATLAS20aux,147.012135,3.538242,0.134,0.093,0.069
ATLAS20avl,139.524696,-15.812419,0.181,0.125,0.093
ATLAS20avo,55.679481,-43.304601,0.041,0.028,0.021
ATLAS20avp,32.143354,29.235707,0.198,0.137,0.102
ATLAS20avu,60.279896,31.812955,0.897,0.621,0.461
ATLAS20avv,10.406853,-3.25343,0.142,0.098,0.073
ATLAS20bku,194.270624,29.088737,0.04,0.027,0.02
ATLAS20bmm,142.165267,38.563094,0.052,0.036,0.027
ATLAS20caf,210.910989,-33.977233,0.24,0.166,0.123
ATLAS20clv,245.474561,38.929757,0.028,0.02,0.015
ATLAS20cvy,175.874033,-16.798125,0.134,0.092,0.069
ATLAS20cwv,225.47778,25.966403,0.123,0.085,0.063
ATLAS20cyz,267.094846,54.151474,0.14,0.097,0.072
ATLAS20cza,150.287761,-19.441704,0.138,0.095,0.071
ATLAS20ecp,212.555578,-6.822433,0.12,0.083,0.062
ATLAS20efg,159.313654,-41.624715,0.256,0.177,0.132
ATLAS20efm,193.684251,-39.852649,0.377,0.261,0.194
ATLAS20ejr,191.496012,-33.833464,0.216,0.149,0.111
ATLAS20enf,201.623545,36.008665,0.052,0.036,0.027
ATLAS20eqs,75.315848,-14.02453,0.32,0.221,0.164
ATLAS20eqz,163.798741,-26.140144,0.238,0.165,0.122
ATLAS20era,181.936457,-32.013434,0.248,0.172,0.128
ATLAS20etm,208.907016,40.477552,0.032,0.022,0.017
ATLAS20etr,264.871521,68.792419,0.148,0.103,0.076
ATLAS20exn,10.289857,16.461567,0.137,0.095,0.07
ATLAS20fnd,183.654507,24.304366,0.106,0.073,0.054
ATLAS20fnl,66.034021,-27.079887,0.171,0.118,0.088
ATLAS20fpl,188.755384,-5.488571,0.163,0.113,0.084
ATLAS20fte,269.048876,62.757076,0.132,0.091,0.068
ATLAS20fvo,48.081776,41.282257,0.448,0.31,0.23
ATLAS20gef,72.511821,82.648519,0.288,0.199,0.148
ATLAS20geg,68.356546,-4.265815,0.165,0.114,0.085
ATLAS20ghu,290.283997,43.328662,0.321,0.222,0.165
ATLAS20gso,23.277855,-9.780167,0.103,0.071,0.053
ATLAS20hcv,187.036215,20.178224,0.113,0.078,0.058
ATLAS20hfc,192.646166,40.977638,0.063,0.043,0.032
ATLAS20hgk,112.047893,72.578195,0.101,0.07,0.052
ATLAS20hgw,279.463064,37.470929,0.199,0.137,0.102
ATLAS20hgz,261.621925,71.094088,0.132,0.091,0.068
ATLAS20hhc,148.646416,-19.887306,0.13,0.09,0.067
ATLAS20hhk,234.452157,38.146474,0.049,0.034,0.025
ATLAS20hid,239.679542,26.819354,0.169,0.117,0.087
ATLAS20hje,232.623754,-12.601804,0.497,0.344,0.256
ATLAS20hjf,204.987807,0.828192,0.091,0.063,0.047
ATLAS20hmy,201.813317,32.03362,0.047,0.032,0.024
ATLAS20hth,74.783533,4.97271,0.275,0.191,0.142
ATLAS20hwj,200.915236,-16.645738,0.24,0.166,0.123
ATLAS20hxn,296.185142,-28.386912,0.598,0.413,0.307
ATLAS20hzl,251.188124,22.513304,0.157,0.109,0.081
ATLAS20ier,185.536561,6.099743,0.079,0.055,0.041
ATLAS20iey,135.9491,29.159281,0.099,0.069,0.051
ATLAS20onj,165.747785,-16.292134,0.162,0.112,0.083
ATLAS20onk,164.245184,43.076817,0.029,0.02,0.015
ATLAS20oon,264.202761,13.294237,0.385,0.267,0.198
